Title,Release,Geek_Rating,Num_Voters,Community_Players,Best_Players,Playing _Time,Link
Brass: Birmingham,2018,8.415,46156,2~4,3~4,60~120,https://boardgamegeek.com/boardgame/224517/brass-birmingham
Pandemic Legacy: Season 1,2015,8.379,53583,2~4,4,60,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1
Gloomhaven,2017,8.352,62276,1~4,3,60~120,https://boardgamegeek.com/boardgame/174430/gloomhaven
Ark Nova,2021,8.335,43829,1~3,2,90~150,https://boardgamegeek.com/boardgame/342942/ark-nova
Twilight Imperium: Fourth Edition,2017,8.241,23890,3~6,6,240~480,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition
Dune: Imperium,2020,8.231,45744,1~4,3~4,60~120,https://boardgamegeek.com/boardgame/316554/dune-imperium
Terraforming Mars,2016,8.212,99328,1~4,3,120,https://boardgamegeek.com/boardgame/167791/terraforming-mars
War of the Ring: Second Edition,2011,8.187,21431,2,2,150~180,https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition
Star Wars: Rebellion,2016,8.171,32539,2,2,180~240,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion
Gloomhaven: Jaws of the Lion,2020,8.164,34412,1~4,2,30~120,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion
Spirit Island,2017,8.145,51723,1~4,2,90~120,https://boardgamegeek.com/boardgame/162886/spirit-island
Gaia Project,2017,8.113,27205,1~4,3~4,60~150,https://boardgamegeek.com/boardgame/220308/gaia-project
Twilight Struggle,2005,8.068,48855,2,2,120~180,https://boardgamegeek.com/boardgame/12333/twilight-struggle
Through the Ages: A New Story of Civilization,2015,8.059,31699,2~4,3,120,https://boardgamegeek.com/boardgame/182028/through-the-ages-a-new-story-of-civilization
Great Western Trail,2016,8.026,40910,2~4,3,75~150,https://boardgamegeek.com/boardgame/193738/great-western-trail
The Castles of Burgundy,2011,8.016,62400,2~4,2,30~90,https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy
Scythe,2016,7.992,83669,1~5,4,90~115,https://boardgamegeek.com/boardgame/169786/scythe
Eclipse: Second Dawn for the Galaxy,2020,7.977,13661,2~6,4,60~200,https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-for-the-galaxy
7 Wonders Duel,2015,7.972,94864,2,2,30,https://boardgamegeek.com/boardgame/173346/7-wonders-duel
Brass: Lancashire,2007,7.962,24968,2~4,4,60~120,https://boardgamegeek.com/boardgame/28720/brass-lancashire
Nemesis,2018,7.954,30660,1~5,4~5,90~180,https://boardgamegeek.com/boardgame/167355/nemesis
Clank! Legacy: Acquisitions Incorporated,2019,7.946,9461,2~4,4,90~120,https://boardgamegeek.com/boardgame/266507/clank-legacy-acquisitions-incorporated
A Feast for Odin,2016,7.944,28613,1~4,3,30~120,https://boardgamegeek.com/boardgame/177736/a-feast-for-odin
Concordia,2013,7.942,40566,2~5,4,100,https://boardgamegeek.com/boardgame/124361/concordia
Great Western Trail: Second Edition,2021,7.903,12767,1~4,3,75~150,https://boardgamegeek.com/boardgame/341169/great-western-trail-second-edition
Arkham Horror: The Card Game,2016,7.901,43177,1~2+,2,60~120,https://boardgamegeek.com/boardgame/205637/arkham-horror-the-card-game
Wingspan,2019,7.898,93522,1~4,3,40~70,https://boardgamegeek.com/boardgame/266192/wingspan
Lost Ruins of Arnak,2020,7.897,44319,1~4,3,30~120,https://boardgamegeek.com/boardgame/312484/lost-ruins-of-arnak
Terra Mystica,2012,7.896,48057,2~5,4,60~150,https://boardgamegeek.com/boardgame/120677/terra-mystica
Frosthaven,2022,7.893,7014,1~4,3,90~180,https://boardgamegeek.com/boardgame/295770/frosthaven
Root,2018,7.886,51541,3~4,4,60~90,https://boardgamegeek.com/boardgame/237182/root
Orléans,2014,7.873,31437,2~4,4,90,https://boardgamegeek.com/boardgame/164928/orleans
Too Many Bones,2017,7.865,13423,1~4,3,60~120,https://boardgamegeek.com/boardgame/192135/too-many-bones
Mage Knight Board Game,2011,7.853,33346,1~3,1~2,60~240,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game
Barrage,2019,7.847,17773,2~4,4,60~120,https://boardgamegeek.com/boardgame/251247/barrage
Everdell,2018,7.846,54896,1~4,3,40~80,https://boardgamegeek.com/boardgame/199792/everdell
The Crew: Mission Deep Sea,2021,7.844,17691,3~5,4,20,https://boardgamegeek.com/boardgame/324856/the-crew-mission-deep-sea
Viticulture Essential Edition,2015,7.839,48811,1~5,3~4,45~90,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition
Food Chain Magnate,2015,7.801,20482,2~5,3~4,120~240,https://boardgamegeek.com/boardgame/175914/food-chain-magnate
Heat: Pedal to the Metal,2022,7.800,23181,1~6,5~6,30~60,https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal
Marvel Champions: The Card Game,2019,7.798,23691,1~3,1~2,45~90,https://boardgamegeek.com/boardgame/285774/marvel-champions-the-card-game
Pax Pamir: Second Edition,2019,7.795,14146,1~5,4,45~120,https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition
Underwater Cities,2018,7.785,19681,1~3,2,80~150,https://boardgamegeek.com/boardgame/247763/underwater-cities
Puerto Rico,2002,7.777,71029,2~5,4,90~150,https://boardgamegeek.com/boardgame/3076/puerto-rico
Cascadia,2021,7.772,38947,1~4,2~3,30~45,https://boardgamegeek.com/boardgame/295947/cascadia
Crokinole,1876,7.768,18079,"2, 4",2,30,https://boardgamegeek.com/boardgame/521/crokinole
Kanban EV,2020,7.766,7709,1~4,3,60~180,https://boardgamegeek.com/boardgame/284378/kanban-ev
Caverna: The Cave Farmers,2013,7.763,34855,1~5,4,30~210,https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers
Anachrony,2017,7.757,18690,1~4,3,30~120,https://boardgamegeek.com/boardgame/185343/anachrony
Blood Rage,2015,7.755,47229,3~4+,4,60~90,https://boardgamegeek.com/boardgame/170216/blood-rage
On Mars,2020,7.751,12650,1~4,3,90~150,https://boardgamegeek.com/boardgame/184267/on-mars
Pandemic Legacy: Season 0,2020,7.749,7700,2~4,4,45~60,https://boardgamegeek.com/boardgame/314040/pandemic-legacy-season-0
Agricola,2007,7.748,72848,1~5,3~4,30~150,https://boardgamegeek.com/boardgame/31260/agricola
Sleeping Gods,2021,7.741,12094,1~3,2,60~1200,https://boardgamegeek.com/boardgame/255984/sleeping-gods
Pandemic Legacy: Season 2,2017,7.721,16906,2~4,4,60,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2
Lisboa,2017,7.720,11149,1~4,3,60~120,https://boardgamegeek.com/boardgame/161533/lisboa
Mansions of Madness: Second Edition,2016,7.714,36448,1~5,3~4,120~180,https://boardgamegeek.com/boardgame/205059/mansions-of-madness-second-edition
Cthulhu: Death May Die,2019,7.712,12510,1~4,3,90~120,https://boardgamegeek.com/boardgame/253344/cthulhu-death-may-die
Tzolk'in: The Mayan Calendar,2012,7.702,39379,2~4,4,90,https://boardgamegeek.com/boardgame/126163/tzolkin-the-mayan-calendar
Obsession,2018,7.701,12524,1~4,2,30~90,https://boardgamegeek.com/boardgame/231733/obsession
Maracaibo,2019,7.701,16371,1~4,3,30~120,https://boardgamegeek.com/boardgame/276025/maracaibo
Power Grid,2004,7.700,65519,3~6,4~5,120,https://boardgamegeek.com/boardgame/2651/power-grid
Grand Austria Hotel,2015,7.691,21027,2~3,2,60~120,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel
The Quacks of Quedlinburg,2018,7.682,49850,2~4,4,45,https://boardgamegeek.com/boardgame/244521/the-quacks-of-quedlinburg
Clans of Caledonia,2017,7.681,20446,1~4,4,30~120,https://boardgamegeek.com/boardgame/216132/clans-of-caledonia
Le Havre,2008,7.680,31735,1~4,3,30~150,https://boardgamegeek.com/boardgame/35677/le-havre
Paladins of the West Kingdom,2019,7.680,17850,1~3,2,90~120,https://boardgamegeek.com/boardgame/266810/paladins-of-the-west-kingdom
